na,nb,road_length,road_width
3952,3953,244.528667,30
3954,3955,158.049633,30
3956,3957,273.523748,20
3960,812,260.423266,44
3965,3966,920.319761,24
4009,4010,409.505548,30
4073,4074,502.314404,30
4075,4076,20.904689,18
4077,4078,287.858311,40
4082,4083,253.565564,22
4084,4085,50.499280,32
4086,4087,79.372229,38
4088,4089,620.594876,28
4090,4091,23.324031,60
4092,4093,948.562383,24
4094,4095,135.055678,40
4096,4097,26.246093,14
4099,4100,33.782513,20
4102,4103,143.778835,56
4104,4105,559.843761,30
1759,4106,268.998595,40
4107,4108,357.115112,30
4109,4110,654.593097,28
4111,4112,850.598144,30
4113,4114,99.103308,60
4120,4121,1200.978730,20
4122,4123,107.134069,46
4141,4142,208.808665,48
4143,4144,651.713832,35
4145,4146,19.910608,32
4147,4148,12.850179,28
4149,4150,265.469438,40
4151,3238,24.025204,40
4152,4153,236.870878,24
4154,4155,275.909440,38
4156,4157,259.772651,28
4158,4159,327.049040,18
4163,4164,583.205664,24
4165,4166,420.292215,30
4172,4173,1184.229140,32
4174,4175,254.215998,50
4176,4177,290.243058,30
4178,4179,142.006170,6
4180,4181,126.220454,32
4182,4183,682.917768,28
4185,4186,209.925263,42
4187,4188,230.298827,30
4189,4190,506.882650,30
4191,4192,210.534157,40
4193,2862,266.378368,30
4194,4195,248.817532,32
4196,4197,247.652065,0
4198,4199,620.360052,30
4232,4233,305.589234,24
4234,4235,119.900844,30
4236,4237,256.593330,30
4238,4239,496.191166,36
4240,4241,101.542981,48
4242,4243,275.581854,34
4244,4245,158.955028,40
4246,4247,63.397754,40
4248,4249,241.957581,70
4250,4251,279.262987,40
4256,4257,647.749107,20
4258,4259,794.647744,32
4260,4261,261.426797,30
4262,4263,336.601829,42
4265,4266,408.010340,14
4267,4268,705.226846,60
4269,4270,609.606835,30
4272,4273,405.473396,30
4274,4275,350.604241,32
4276,4277,540.575814,30
4278,4279,251.082985,24
4280,4281,469.918632,30
4282,4283,745.233324,30
4285,4286,78.426839,0
4287,4288,242.462378,30
4290,4291,89.608081,0
4292,4293,143.285021,70
4294,4295,149.482092,42
4296,4297,217.466027,40
4298,4299,121.381204,0
4300,4301,259.764090,40
4304,4305,669.870964,17
4311,4312,546.733463,22
4313,4314,104.194104,30
1839,4315,261.006333,70
4316,4317,63.052153,24
4320,4321,287.169426,28
4322,4323,875.950305,30
4324,4325,259.870647,36
4326,4327,460.381082,30
4328,4329,496.527564,30
4330,4331,326.318351,28
4336,4337,214.191626,45
4338,4339,250.058629,32
4345,4346,596.843058,30
4347,4348,324.039433,34
4349,4350,264.957980,30
4351,4352,259.555541,40
4353,4354,259.280259,40
4355,4356,45.948294,0
